publication_date,news_section,travel_departure_date,travel_duration,travel_arrival_date,travel_departure_port,travel_port_of_call_list,travel_arrival_port,ship_type,ship_name,cargo_list,master_role,master_name,parsed_text
1854-01-17,E,1854-01-05,11?,1854-01-16,Amberes,nan,La Habana,dinsberg.esp.,Noticioso,"167, con mercancAAas, AA! ios Sres. Mangoagu, D. y comp.",cap.,Urriola,"De Amberes en 11 dinsberg.esp. Noticioso, cap. Urriola, tone). 167, con mercancAAas, AA! ios Sres. Mangoagu, D. y comp."
1854-01-20,E,1854-01-03,16dias,1854-01-19,Boston,nan,La Habana,"frag, nm.",Carniola,"con hielo y atros, al capitan..",cap.,Hoxie,"De Boston en 16 dias frag, nm. Carniola, cap. Hoxie, ton. 201. con hielo y atros, al capitan.."
1854-01-20,E,1853-12-15,35dias,1854-01-19,Liverpool,nan,La Habana,"berg, esp.",Nuevo Leon,"con ferreteria, & los Sres. San Pelayo, P. y comp.",cap.,Urrutia Son.,"De Liverpool en 35 dias berg, esp. Nuevo Leon, cap. Urrutia Son. 134, con ferreteria, & los Sres. San Pelayo, P. y comp."
1854-01-20,E,1853-11-08,72dias,1854-01-19,Sunderland,nan,La Habana,frag. ing.,Fairy,"AC/A!A<< con carbon, AA! los Sres. SamAA! y comp.",cap.,Mills.,"De Sunderland en 72 dias frag. ing. Fairy, cap. Mills. ton. 323, AC/A!A<< con carbon, AA! los Sres. SamAA! y comp."
1854-01-20,E,1853-12-05,45dias,1854-01-19,Cardiff,nan,La Habana,frag. am.,Tedesco,"con carbon, D. R. Morison y comp.",cap.,Higgins,"De Cardiff en 45 dias frag. am. Tedesco, cap. Higgins, ton. 590, con carbon, D. R. Morison y comp."
1854-01-21,E,1854-01-17,3dias,1854-01-20,Wiscassett,nan,La Habana,Ierg. am.,Rainbow,"sultan de un fuerte temprat que sufriAA3 este buque el 21 del pasado perdio dor hombres, un bote y la carga de sobrecubierta. Apuestas del Suf no queduta lanque AA  la vista.",e,II-De,"e Wiscassett en 3 dias Ierg. am. Rainbow, capit. Emerson, ton. 17, con envases, & fox Sies. Cahuzne II-De res sultan de un fuerte temprat que sufriAA3 este buque el 21 del pasado perdio dor hombres, un bote y la carga de sobrecubierta. Apuestas del Suf no queduta lanque AA  la vista."
1854-01-25,E,1853-12-18,37dias,1854-01-24,Liverpool,nan,La Habana,berg. esp.,Joven Pepito,"com mercancias, al capitan.",cap,Villabaso,"e Liverpool en 37 dias berg. esp. Joven Pepito, cap Villabaso, ton. 112.com mercancias, al capitan."
1854-01-25,E,1854-01-15,9din,1854-01-24,New-rienns,nan,La Habana,berg am.,Aams Gray,"con viveres. & los Sres Herrera, M. y comp.",cap,Henry,"De New-rienns en 9 din berg am. Aams Gray, cap Henry, ton. 13, con viveres. & los Sres Herrera, M. y comp."
1854-01-26,E,1854-01-24,1dia,1854-01-25,Cayo-Ineco,nan,La Habana,pail. amner.,Bren!nA,"con ostiones, & los Sten. Draka y comp.",cap.,Johnson,"e Cayo-Ineco en 1 dia pail. amner. Bren!nAA<<, cap. Johnson, ton. 33, con ostiones, & los Sten. Draka y comp."
1854-01-26,E,1853-12-22,34dias,1854-01-25,San Sel astian,"Pto Rico,",La Habana,luere esp.,Joven Formin,"7%, con harina, & D. J. de la Portilla. A puestas del Sol no quedaba Luque AA  In vista.",cap.,Bengoechen,"De San Sel astian y Pto Rico, en 34 dias luere esp. Joven Formin, cap. Bengoechen, ten. 7%, con harina, & D. J. de la Portilla. A puestas del Sol no quedaba Luque AA  In vista."
1854-01-27,E,1854-01-07,19dias,1854-01-26,Bristol,nan,La Habana,gol. min.,Ophyr,"con viveres, 4 los Sres. Ulrici, P. y comp.",cap.,Gray,"e Bristol en 19 dias gol. min. Ophyr, cap. Gray, ton. 334, con viveres, 4 los Sres. Ulrici, P. y comp."
1854-01-27,E,1854-01-10,16dias,1854-01-26,a Apalachicula,Cayo-Hueso,La Habana,gol. am.,Margareth,"con maderas, & los Sree. Drake y coinp. De Brenock en 3 dias frag. ing. Roger toward, cnp. Menzies. 04.con carbon los Sres. Picardy Alvers.",ap.,Smith,"Da Apalachicula y Cayo-Hueso en 16 dias gol. am. Margareth sap. Smith, ton. 51, con maderas, & los Sree. Drake y coinp. De Brenock en 3 dias frag. ing. Roger toward, cnp. Menzies. 04.con carbon los Sres. Picardy Alvers."
1854-01-27,E,1854-01-21,5dias,1854-01-26,oba,nan,La Habana,gul. nmer.,Marietta,"& loe Bren. Ulrici, P. y comp.",cap.,Smith,"oba en 5 dias gul. nmer. Marietta, cap. Smith, ton. 117 tables, & loe Bren. Ulrici, P. y comp."
1854-01-28,E,1854-01-17,10dias,1854-01-27,Filadelfia,nan,La Habana,"trag, am.",Japonica,"$45, con intercancAAas & D. F. Alvarez y comp",p.,Powers,"De Filadelfia en 10 dias trag, am. Japonica, enp. Powers, tonel. $45, con intercancAAas & D. F. Alvarez y comp"
1854-01-28,E,1854-01-18,9dias,1854-01-27,Charleston,nan,La Habana,go'. m.,Mary Ann,"eon arroz, & D. S. C. Burnham y comp.""",cap.,Chase,"De Charleston en 9 dias go'. m. Mary Ann, cap. Chase, ton.DI, eon arroz, & D. S. C. Burnham y comp."""
1854-02-01,E,1854-01-29,2dias,1854-01-31,Mobila,nan,La Habana,vapor am.,Black Warrior,"en lustre, D. C. Tyng y comp.-Pasag. 16. De New Orleans en 3 dias vapor nu. Philadelphin, cap. Bude. ton. 1235, en lastre, & los Sres Drake y comp.-Parag. 81.",cap.,Bullock,"Mobila en 2 dias vapor am. Black Warrior, cap. Bullock, ton 1569, en lustre, D. C. Tyng y comp.-Pasag. 16. De New Orleans en 3 dias vapor nu. Philadelphin, cap. Bude. ton. 1235, en lastre, & los Sres Drake y comp.-Parag. 81."
1854-02-01,E,1854-01-16,15dias,1854-01-31,Bath,nan,La Habana,"berg, nm",Onward,"con envases, & lose Burnham y Comp.",cap.,Tibbete,"De Bath en 15 dias berg, nm Onward, cap. Tibbete, ton. 199. con envases, & lose Burnham y Comp."
1854-02-01,E,1854-01-09,22dias,1854-01-31,Portland,nan,La Habana,frag.,Amer. Diligener,"con envases, a los Stes. Aot, S. y Comp.",cap.,Hatchinson.,"De Portland en 22 dias frag. Amer. Diligener, cap. Hatchinson. ton. 237. con envases, a los Stes. Aot, S. y Comp."
1854-02-01,E,1854-01-15,16dins,1854-01-31,Buston,nan,La Habana,berg am.,H. P. Cushing,"con envases, & D. G. Alfonso.",cap,Lancaster.,"De Bustonen 16 dins berg am. H. P. Cushing, cap Lancaster. toni, con envases, & D. G. Alfonso."
1854-02-01,E,1854-01-07,24?,1854-01-31,Portland,nan,La Habana,diasberg at,Washington,"con envases, los Sres, Jimenez y comp.",cap.,Bubber,"De Portland en 24 diasberg at Washington, cap. Bubber, ton 197, con envases, los Sres, Jimenez y comp."
1854-02-03,E,1854-01-29,4?,1854-02-02,New-Olen,nan,La Habana,"diasgol, am.",G. H. Meningne,"167, con vAAveres, AA! lo Sten. Sotolongo. A. y comp-Pang. 2.",cap.,Simpson,"e New-Olen en 4 diasgol, am. G. H. Meningne cap. Simpson, fen. 167, con vAAveres, AA! lo Sten. Sotolongo. A. y comp-Pang. 2."
1854-02-03,E,1854-01-29,4?,1854-02-02,New-Orenns,nan,La Habana,dinsberg. am,Mary Elizabeth,"viveres, tos Sres. Herrera, M. y up.",p.,Me. Connell,"De New-Orenns en 4 dinsberg. am Mary Elizabeth, eup. Me. Connell, t. 121 ca viveres, tos Sres. Herrera, M. y up."
1854-02-03,E,1854-01-07,26dias,1854-02-02,l'ortland,nan,La Habana,irg. n.,Com. Stewart,"en tablas, a los Sres. Mauger y colag.",p.,Duning.,"De l'ortland en 26 dias irg. n. Com. Stewart, emp. Duning. ton. 155, en tablas, a los Sres. Mauger y colag."
1854-02-04,E,1854-01-28,6dins,1854-02-03,New York,nan,La Habana,vapor amer.,Crescent City,en lastre. A los Sres. Drake y comp.-Pa gertil.,cap.,Windle,"e New York en 6 dins vapor amer. Crescent City, cap. Windle, ton-1290, en lastre. A los Sres. Drake y comp.-Pa gertil."
1854-02-04,E,1853-12-16,49diss,1854-02-03,Aalesund,nan,La Habana,berg. esp.,Nervion,"con baenio, & D. H. Rottmann.",cap.,Zaracondegni,"De Aalesund en 49 diss berg. esp. Nervion, cap. Zaracondegni, ton, 91, con baenio, & D. H. Rottmann."
1854-02-05,E,(1854-02-04)-(6t dias),6tdias,1854-02-04,Barcelona,MAA!laga,La Habana,"berg, esp.",Bravo,"n. 217, con fruta, AA! los Sres. Sama y comp.-Pag. 52",cap.,Man.,"De Barcelona y MAA!laga en 6t dias berg, esp. Bravo, cap. Man. ry. n. 217, con fruta, AA! los Sres. Sama y comp.-Pag. 52"
1854-02-05,E,1853-12-24,42dias,1854-02-04,Santander,Cuba,La Habana,berg.cap.,Querido,ton. 152. con harina & D J. Escaurizn.,cap,Lopa.,"De Santander y Cuba en 42 dias berg.cap. Querido cap Lopa. tegui, ton. 152. con harina & D J. Escaurizn."
1854-02-07,E,1854-01-27,10dias,1854-02-06,Char.erton,nan,La Habana,berg. am.,Somere,con arroz AA! Drake.,cap,Watson,"e Char.erton en 10 dias berg. am. Somere, cap Watson, ton. 111, con arroz AA! Drake."
1854-02-07,E,1854-01-21,16dias,1854-02-06,Boston,nan,La Habana,"gol, am.",Georgia,130 Con envases & Drake.,cap.,Petingill,"De Boston en 16 dias gol, am. Georgia, cap. Petingill, tou. 130 Con envases & Drake."
1854-02-07,E,1854-01-27,10dias,1854-02-06,Charlerton,nan,La Habana,berg. am.,Sarah Vose,"con arroz, AA! los Sres. Adul, S. y comp.",cap.,Kelly,"De Charlerton en 10 dias berg. am. Sarah Vose, cap. Kelly, ton 156, con arroz, AA! los Sres. Adul, S. y comp."
1854-02-08,E,1854-01-22,16dins,1854-02-07,Boston,nan,La Habana,frag. am.,(lambin,"con viveres, AA! los Sres. Jimenez y comp.",cap.,Radcliff,"De Boston en 16 dins frag. am. (lambin; cap. Radcliff, ton. 233, con viveres, AA! los Sres. Jimenez y comp."
1854-02-09,E,1854-01-07,32dias,1854-02-08,New-Brunswick,nan,La Habana,berg. ing.,Boston,"con bacalao, AA! los Sres. Keble, I. y comp. De Savannah en AA  dins berg. ain. R. M. Chariton, cap. Light burn, ton. 147, con arroz, & los Sres. Herrera, M. y comp.",ep.,Mae Kinney,"e New-Brunswick en 32 dias berg. ing. Boston, ep. Mae Kinney, ton. 77, con bacalao, AA! los Sres. Keble, I. y comp. De Savannah en AA  dins berg. ain. R. M. Chariton, cap. Light burn, ton. 147, con arroz, & los Sres. Herrera, M. y comp."
1854-02-09,E,1854-01-24,15dias,1854-02-08,Portland,nan,La Habana,fing. amer.,Gov. Parris,"con maderas, 6 D. 8. C. Burnham y comp.",cap.,York,"De Portland en 15 dias fing. amer. Gov. Parris, cap. York, ton. 275, con maderas, 6 D. 8. C. Burnham y comp."
1854-02-09,E,1853-12-25,45dins,1854-02-08,Canarias,Matanzas,La Habana,"berg., esp.",Trueno,"con frutus, & D. A. Oriluula -Pasag. 34.",capitan,Romero,"De Canarias y Matanzas en 45 dins berg., esp. Trueno, capitan Romero, ton. 205, con frutus, & D. A. Oriluula -Pasag. 34."
1854-02-09,E,1854-02-07,1din,1854-02-08,Matanzas,nan,La Habana,"gol, am.",Amanda,"en lastre, & los Sres, Herrera, M. y comp.",cap.,Rosse,"De Matanzas en 1 din gol, am. Amanda, cap. Rosse, ton. 166, en lastre, & los Sres, Herrera, M. y comp."
1854-02-10,E,1854-02-02,7dine,1854-02-09,Tampico,nan,La Habana,vapor ing.,Tamaulipas,"con dinero, AA! los Sree. Iwton y TolmAA(c)-Pas. 8. De Tampico y Veracruz en 9 dias vapor ing. Teviot, cap. Saw. yer, ton, 1900, con 1.500.000, al Sr. consul inglAA(c)s-Pasag. 61. De Charleston en 12 dins gol.am. W. Carroll, cap. Harrington, ton. 124. con maderas, & D. N. Alcaraz.",cap.,Putt:,"e Tampico en 7 dine vapor ing. Tamaulipas, cap. Putt: ton. 321, con dinero, AA! los Sree. Iwton y TolmAA(c)-Pas. 8. De Tampico y Veracruz en 9 dias vapor ing. Teviot, cap. Saw. yer, ton, 1900, con 1.500.000, al Sr. consul inglAA(c)s-Pasag. 61. De Charleston en 12 dins gol.am. W. Carroll, cap. Harrington, ton. 124. con maderas, & D. N. Alcaraz."
1854-02-14,E,1854-01-23,21dias,1854-02-13,Boston,nan,La Habana,pait. amer.,New-Zeland,"con envases, & D. R. Morison y comp.",cap.,Mae Rn,"e Boston en 21 dias pait. amer. New-Zeland, cap. Mae Rn, ton. 144. con envases, & D. R. Morison y comp."
1854-02-16,E,1854-02-04,11dias,1854-02-15,New-York,nan,La Habana,fag. am.,Lya,"217, con merealiens, AA! D. S. C. Burnham y comp.",cap.,Bennis,"De New-York en 11 dias fag. am. Lya, cap. Bennis, ten. 217, con merealiens, AA! D. S. C. Burnham y comp."
1854-02-16,E,1854-02-05,10dias,1854-02-15,New-York,nan,La Habana,trag. n.,Gratton.,"con efectos, D. R. Morison y comp",cap.,Tudd,"De New-York en 10 dias trag. n. Gratton. cap. Tudd, ton. 3, con efectos, D. R. Morison y comp"
1854-02-16,E,1854-01-05,41dias,1854-02-15,Cardit,nan,La Habana,"berg, esp.",Sob,"con carbon, AA>> D. A. ce AA(r)n Fortien'e.",cap.,Quintana,"De Cardit en 41 dias berg, esp. Sob rano, cap. Quintana ton. 412, con carbon, AA>> D. A. ce AA(r)n Fortien'e."
1854-02-21,E,1854-02-09,11dias,1854-02-20,Verneruz,nan,La Habana,berg. de,S. M. Alende,"al das berg. fine. Mogador, cap Barthen, fon. 242, con carbon, AA  la: Sres. Zangoz. H. y cump.",o D.,"Juan Flores.
De Cayenne","e Verneruz en 11 dias berg. de S. M. Alende, su comandante el teniente de avio D. Juan Flores.
De Cayenne en al das berg. fine. Mogador, cap Barthen, fon. 242, con carbon, AA  la: Sres. Zangoz. H. y cump."
1854-02-21,E,1854-02-03,17dias,1854-02-20,Veracruz,nan,La Habana,bere ard,Gaing,"con efectos, & las Sies. Zgroniz, II. y comp",cap.,Michelini,"De Veracruz en 17 dias bere ard Gaing, cap. Michelini,
ton. 193, con efectos, & las Sies. Zgroniz, II. y comp"
1854-02-24,E,1854-01-20,34dins,1854-02-23,CAA!diz,nan,La Habana,pol. esp.,InAA,"com frutos, AA! D. J. de la Portails.-Pag. 3.",cap.,Galiano,"e CAA!diz en 34 dins pol. esp. InAA(c)s, cap. Galiano, ton. 123.com frutos, AA! D. J. de la Portails.-Pag. 3."
1854-02-24,E,1854-02-12,11dia,1854-02-23,Charleston,nan,La Habana,gul. ain.,Isabelle,con rrez. & D. R. Morison y comp.,cap.,Gago,"De Charleston en 11 dia gul. ain. Isabelle, cap. Gago, ton. 101, con rrez. & D. R. Morison y comp."
1854-02-25,E,1853-12-16,70dias,1854-02-24,Buenos Aires,Matanzas,La Habana,borg. esp,Soberano,"can tisajo, AA! los Sre. Samia y comp. De Portland en 19 dis gol, n. Otwa. cap: Swetser, ton. 150, con envases, los Sres. Utrici, P. y comp",cap.,Maristany,"De Buenos Aires y Matanzas en 70 dias borg. esp Soberano, cap. Maristany, ton. 412, can tisajo, AA! los Sre. Samia y comp. De Portland en 19 dis gol, n. Otwa. cap: Swetser, ton. 150, con envases, los Sres. Utrici, P. y comp"
1854-02-28,E,1854-02-26,1din,1854-02-27,Santa Cruz,nan,La Habana,pail. amer.,Sarah Moore,"con mieles, los Sres, Drake y comp.",cap.,Bicke,"e Santa Cruz en 1 din pail. amer. Sarah Moore, cap. Bicke, ton. Bi, con mieles, los Sres, Drake y comp."
1854-02-28,E,1854-02-21,6dins,1854-02-27,Kingston,nan,La Habana,gol. ing.,Margareth Bevington,"fui 101, con pesendo, & D. S. C. Burma y comp.",ap.,Ves,"De Kingston en 6 dins gol. ing. Margareth Bevington, eap. Ves cont, fui 101, con pesendo, & D. S. C. Burma y comp."
1854-02-28,E,1854-02-20,7dias,1854-02-27,New-Oleens,nan,La Habana,gol. amr,Ale,"con vivere, AA  los Sres. Sotolongo, A. y comp.",ap.,Butler,"De New-Oleensen 7 dias gol. amr Ale, eap. Butler, ton. 19Aa, con vivere, AA  los Sres. Sotolongo, A. y comp."
1854-03-03,E,1854-02-17,13dias,1854-03-02,Filadelfia,nan,La Habana,"frag, am.",Elizabeth,viveres AA! D F. Alvarez y comp.,cap.,Brookston,"e Filadelfia en 13 dias frag, am. Elizabeth, J. cap. Brookston, con viveres AA! D F. Alvarez y comp."
1854-03-03,E,1854-02-04,26dias,1854-03-02,Portlant,nan,La Habana,"berg, am.",Harriet Fuler,con envases D. R. Morison y comp,cap.,Bebber,"De Portlanten 26 dias berg, am. Harriet Fuler, cap. Bebber, ton. 129 con envases D. R. Morison y comp"
1854-03-03,E,1854-02-08,22dia,1854-03-02,Portland,nan,La Habana,"bergam, c.",Baldwin,"con maderas, & D. K. Morison y comp.",cap.,Montgomery.,"De Portland en 22 dia bergam, c. Baldwin, cap. Montgomery. ton. 165, con maderas, & D. K. Morison y comp."
1854-03-04,E,1854-02-19,12di,1854-03-03,New-York,nan,La Habana,fog. prue.,Adelina,"con maderas y adoquines, los Sres. D nke y comp",cap.,Kleinwort.,"De New-York en 12 di fog. prue. Adelina, cap. Kleinwort. ton. 427, con maderas y adoquines, los Sres. D nke y comp"
1854-03-04,E,1854-02-28,3?,1854-03-03,Gitan,nan,La Habana,das berg.esp.,Figaro,"con tasajo, a D. J. Mazo y comp.",cap.,Mannu,"De Gitan en 3 das berg.esp. Figaro, cap. Mannu, ton. 102, con tasajo, a D. J. Mazo y comp."
1854-03-04,E,1854-02-16,15dias,1854-03-03,o Portond,nan,La Habana,beig am.,Lion,"com envases, & D. R. Morison yom",cap.,Heart,"Do Portond en 15 dias beig am. Lion, cap. Heart, ton. 150, com envases, & D. R. Morison yom"
1854-03-04,E,1854-02-10,21dias,1854-03-03,Bat,nan,La Habana,berg. am.,Elias Dudley,"con enves, 4 D. S. C. Bumbam yeup.",cap.,Hopkins,"De Bat en 21 dias berg. am. Elias Dudley, cap. Hopkins, ton. 14, con enves, 4 D. S. C. Bumbam yeup."
1854-03-04,E,1854-02-19,12dias,1854-03-03,New-York,nan,La Habana,frag. am.,Hannah Crooker.,"en lastre, al capitan.",ep.,Peters,"De New-York en 12 dias frag. am. Hannah Crooker. ep. Peters, ton. 499, en lastre, al capitan."
1854-03-04,E,1854-03-02,1din,1854-03-03,Matanzas,nan,La Habana,"pail, amer.",Margareth Ann,"en lastre, al capitan.",p.,Smith,"De Matanzas en 1 din pail, amer. Margareth Ann, enp. Smith, ton, 51, en lastre, al capitan."
1854-03-07,E,1854-03-05,1dias,1854-03-06,New Orleans,nan,La Habana,vapor an.,Filadelfi.,"con efectos, & los. Stee, Drake y comp.-Pasng. 53 De Sierra-Morean en 2 das gel, am. New-Zland, capitan Mac Rae, ton. 14. con mieles, i D. R. Morison y comp.",cap.,Fox,"e New Orleans en 1 dias vapor an. Filadelfi. cap. Fox, ton. 13, con efectos, & los. Stee, Drake y comp.-Pasng. 53 De Sierra-Morean en 2 das gel, am. New-Zland, capitan Mac Rae, ton. 14. con mieles, i D. R. Morison y comp."
1854-03-07,E,1854-01-15,50dias,1854-03-06,Barcelona,Nuevitas,La Habana,"1erg, esp.",Previsor,con frutos & Sotolongo A. y Up.,cap.,Alva,"De Barcelona y Nuevitas en 50 dias 1erg, esp. Previsor, cap. Alva, ton. 190, con frutos & Sotolongo A. y Up."
1854-03-08,E,(1854-03-07)-(to dins),todins,1854-03-07,Jacksonville,nan,La Habana,"berg, am.",Sarah Wooster,"127, con muleras, los Sres. Cahnzac H. De Tampico en 13 dias gol. esp Mercedes, capit. Iturcos, ton 102. con efectos ab M. Santelices,",cap.,Wouster,"e Jacksonville en to dins berg, am. Sarah Wooster, cap. Wouster, tom. 127, con muleras, los Sres. Cahnzac H. De Tampico en 13 dias gol. esp Mercedes, capit. Iturcos, ton 102. con efectos ab M. Santelices,"
1854-03-11,E,1854-02-26,12dies,1854-03-10,Colon,nan,La Habana,gol. esp.,Gandhita,"con efectos, D. N. Bose.",cap.,Amezaga,"De Colon en 12 dies gol. esp. Gandhita, cap. Amezaga, ton. 72. con efectos, D. N. Bose."
1854-03-11,E,1854-02-27,11dins,1854-03-10,Savannah,nan,La Habana,berg. am.,Enoch Pratt.,"en arrez, les Sres. Brako y comp.",cap.,Brightman,"De Savannah en 11 dins berg. am. Enoch Pratt. cap. Brightman ton 197. en arrez, les Sres. Brako y comp."
1854-03-11,E,1854-03-05,5dias,1854-03-10,Tampico,Veracruz,La Habana,vapor og,Teviot,"ton. 100, a Sr. con ul inglAA(c)s-Pasag. 74",cap.,Saw.,"De Tampico y Veracruz en 5 dias vapor og Teviot, cap. Saw. yer, ton. 100, a Sr. con ul inglAA(c)s-Pasag. 74"
1854-03-12,E,1854-03-01,10dias,1854-03-11,Mobila,nan,La Habana,"gol, am.",Marietta,"con materns, f los Sres. Ulrici, P. y comp.",cap.,Smith,"e Mobila en 10 dias gol, am. Marietta, cap. Smith ton. 117, con materns, f los Sres. Ulrici, P. y comp."
1854-03-12,E,1854-03-01,10dias,1854-03-11,New Orleans,nan,La Habana,berg. am.,Adams Gray,"con viveres, & los Sres, Herrera, M. y comp,",cap.,Henry,"De New Orleans en 10 dias berg. am. Adams Gray, cap. Henry ton. 134, con viveres, & los Sres, Herrera, M. y comp,"
1854-03-12,E,1854-02-26,13dins,1854-03-11,Baltimore,nan,La Habana,frag. am.,Martha Ann,"con efectos, AA! los Sres. Herrera, M. y comp.",ap.,Babeok,"De Baltimore en 13 dins frag. am. Martha Ann, eap. Babeok, ton 246, con efectos, AA! los Sres. Herrera, M. y comp."
1854-03-14,E,1854-03-11,2dins,1854-03-13,Sierrn-Morena,nan,La Habana,berg. ing.,New Ern,con mieles AA! los Sres. Adof S. y comp,cap.,Irving,"e Sierrn-Morena en 2 dins berg. ing. New Ern, cap. Irving, ton. 135 con mieles AA! los Sres. Adof S. y comp"
1854-03-14,E,1854-02-06,35dis,1854-03-13,Burdeos,nan,La Habana,berg. esp.,Dolores,"con mercanelas, AA! los Sres. Campbell y Caro.",ap.,SarriAA!,"De Burdeos en 35 dis berg. esp. Dolores, eap. SarriAA!, ton. 116, con mercanelas, AA! los Sres. Campbell y Caro."
1854-03-14,E,1854-03-08,5dias,1854-03-13,CAA!diz,nan,La Habana,"berg, esp.",Paquito.,"con fruto, lo- Sres. Noriega, O. y comp.",cap.,Martinez,"De CAA!diz en 5 dias berg, esp. Paquito. cap. Martinez, ton. 100, con fruto, lo- Sres. Noriega, O. y comp."
1854-03-14,E,1854-01-21,51dias,1854-03-13,Cardiff,nan,La Habana,berg surco,Oscar,"con carbon, los Sres. Fesser y comp.","p,",Avel,"De Cardiff en 51 dias berg surco Oscar, exp, Avel, ton. 216, con carbon, los Sres. Fesser y comp."
1854-03-14,E,1854-01-20,52dias,1854-03-13,la CoruAA+-a,nan,La Habana,frag. esp.,Eloisa,"con frotos, & los seAA+-ores Alcisneltes y 1.-Pasag, 16.",ap.,Pardo,"De la CoruAA+-a en 52 dias frag. esp. Eloisa, eap. Pardo, ton. 21 con frotos, & los seAA+-ores Alcisneltes y 1.-Pasag, 16."
1854-03-14,E,1854-03-10,3dins,1854-03-13,New Orleans,nan,La Habana,go.nin.,Edwin Dorsey,"ton. 92, con vivere, & los seAA+-ores U rici, P. vcomp. A puestas del Sol quedala por sotar. gol. eap. mercante",p.,Schnei,"De New Orleans en 3 dins go.nin. Edwin Dorsey, enp. Schnei der, ton. 92, con vivere, & los seAA+-ores U rici, P. vcomp. A puestas del Sol quedala por sotar. gol. eap. mercante"
1854-03-15,E,1854-03-07,7dias,1854-03-14,New Orleans,nan,La Habana,vipor um,Crescent City.,"con efectos, AA  los Sree. Denke y comp Pag. 5.",cap.,Windle.,"e New Orleansen 7 dias vipor um Crescent City. cap. Windle. ton, 1291, con efectos, AA  los Sree. Denke y comp Pag. 5."
1854-03-15,E,1854-02-07,35dias,1854-03-14,Cadiz,nan,La Habana,goleep.,Et,"idias frage Lanta, cap. E tival, ton. 412 con fontos AA  loited. Sam; y comp-Pasap. 3. De GAA(c)nova v Birerlona en 91 das teg, ep. Apne, cap. Lleons, ton. 406 con frutos y efectos AA! los SrAA(c)s. Puizy Pesan. Pasag. S.",e,Barcelona y Valencia,"De Cadiz en 35 dias goleep. Et vina,cap MuAA+-iz, tom. 83 con frutos los Sex Noriega, y con,Pag. 11. De Barcelona y Valencia en idias frage Lanta, cap. E tival, ton. 412 con fontos AA  loited. Sam; y comp-Pasap. 3. De GAA(c)nova v Birerlona en 91 das teg, ep. Apne, cap. Lleons, ton. 406 con frutos y efectos AA! los SrAA(c)s. Puizy Pesan. Pasag. S."
1854-03-15,E,1854-02-21,21dias,1854-03-14,a Barcelona,nan,La Habana,berkep.,Pepito,"con frutos a los Sres, Sotolong Aycon-Pag. 5.",cap,Mas,"Da Barcelona en 21 dias berkep. Pepito, cap Mas, ton. 217 con frutos a los Sres, Sotolong Aycon-Pag. 5."
1854-03-15,E,1854-03-13,1dias,1854-03-14,oi Havre,nan,La Habana,"frag, irang",Joseph,"die berging. Roeroy,cap. Clements, tom. 200 con carbun. al capitan.",p.,De Cardiff,"Doi Havre en 1 dias frag, irang Joseph, cap. Pequeor; ton. 460 con ladrillos, AA! los Stea. Zangroniz, 11. y comp.
De Cardiff en die berging. Roeroy,cap. Clements, tom. 200 con carbun. al capitan."
1854-03-15,E,1854-03-13,1dias,1854-03-14,New Orleans,nan,La Habana,berg.,Kite,"con viveres, AA! los Sres. SamAA! y comp-Pg.3.",ap.,Thompson,"De New Orleans en 1 dias berg. Kite, ap. Thompson ton 183, con viveres, AA! los Sres. SamAA! y comp-Pg.3."
1854-03-15,E,1854-02-27,15dias,1854-03-14,o Filadelfia,nan,La Habana,frag. am.,Chiton,con carbon D. R. Morison y comp.,cap,Penneli,"Do Filadelfia en 15 dias frag. am. Chiton, cap Penneli, ton. 271 con carbon D. R. Morison y comp."
1854-03-18,E,1854-03-14,3dias,1854-03-17,On,nan,La Habana,lerg. sueco,Jenny.e,"en Instre, a los grews. Dinkey comp.",p.,Almquist,"e On en 3 dias lerg. sueco Jenny.ep. Almquist, ton 234, en Instre, a los grews. Dinkey comp."
1854-03-19,E,1854-03-13,5dias,1854-03-18,Santander,alza,La Habana,pl. esp.,Violante,"vapor de S. M. Bazan, en comandante el capitan de fragata D. Ramon Algar.",p.,De la,"De Santander y alza en 5 dias pl. esp. Violante, capit Millet. ton. 165, con hurimit. & D. J Marry comp.
De la mar vapor de S. M. Bazan, en comandante el capitan de fragata D. Ramon Algar."
1854-03-22,E,1854-02-18,31dias,1854-03-21,Mallor,nan,La Habana,"bere, esp.",FAAanix,"ten. 31, con tratos AA  los Sres, Sami y comp",cap.,En,"e Mallor eu 31 dias bere, esp. FAAanix, cap. En achat. ten. 31, con tratos AA  los Sres, Sami y comp"
1854-03-22,E,1854-03-10,11dins,1854-03-21,Mallorca,nan,La Habana,erg. sp.,Beatriz,"con frutos AA! los Stes, Rafeensy Crismell.",cap.,Berga,"De Mallorca en 11 dins erg. sp. Beatriz, cap. Berga, ton. 133. con frutos AA! los Stes, Rafeensy Crismell."
1854-03-22,E,1854-02-26,23?,1854-03-21,Bosto,nan,La Habana,dagat nm.,Mary Groton,149 con envases AA! loss. 8. C. Burnham y Com,cap.,Gever,"De Bosto en 23 dagat nm. Mary Groton, cap. Gever, foneJadnx 149 con envases AA! loss. 8. C. Burnham y Com"
